"RGA","trab1","trab2","prova ","Siscad1 ","trab3 ","trab4","provafinal","Siscad2","media "
" 2018.1102.051-8","8","9","2","6.3","8","9","5","7.3","6.8"
" 2019.1102.027-7","8","8","5","7.0","9","8","5","7.3","7.2"
" 2019.1102.033-1","8","8","3","6.3","9","8","5","7.3","6.8"
" 2019.1102.035-8","8","8","9","8.3","9","8","5","7.3","7.8"
" 2019.1102.043-9","8","9","1","6.0","8","9","5","7.3","6.7"
" 2019.1102.050-1","8","8","5","7.0","9","8","0","5.7","6.3"
" 2020.1102.002-3","8","2","6","5.3","8","8","3","6.3","5.8"
" 2020.1102.003-1","8","8","5","7.0","8","9.5","4","7.2","7.1"
" 2020.1102.005-8","8","0","4.5","4.2","8","8","4","6.7","5.4"
" 2020.1102.006-6","8","8","7","7.7","8","8","6","7.3","7.5"
" 2020.1102.007-4","8","8","6","7.3","8","8","6","7.3","7.3"
" 2020.1102.008-2","8","8","7.5","7.8","8","8","7","7.7","7.8"
" 2020.1102.010-4","8","8","8","8.0","8","9.5","5","7.5","7.8"
" 2020.1102.012-0","8","8","2.5","6.2","8","9.5","5","7.5","6.8"
" 2020.1102.013-9","8","9","10","9.0","8.5","9.5","8","8.7","8.8"
" 2020.1102.014-7","8.5","9.5","4","7.3","9","8.5","2","6.5","6.9"
" 2020.1102.017-1","8.5","9.5","7.5","8.5","9","8.5","6","7.8","8.2"
" 2020.1102.018-0","8.5","9.5","10","9.3","9","8.5","7","8.2","8.8"
" 2020.1102.019-8","8","9","5","7.3","8.5","9.5","6","8.0","7.7"
" 2020.1102.021-0","8.5","9.5","7","8.3","9","8.5","6","7.8","8.1"
" 2020.1102.022-8","8.5","9.5","5","7.7","9","8.5","5","7.5","7.6"
" 2020.1102.023-6","8","9","9.5","8.8","8.5","9.5","7","8.3","8.6"
" 2020.1102.024-4","8","9","10","9.0","8.5","9.5","5","7.7","8.3"
" 2020.1102.027-9","8","8","4","6.7","8","9.5","2","6.5","6.6"
" 2020.1102.028-7","8","8","3.5","6.5","8","8","6","7.3","6.9"
" 2020.1102.029-5","8","9","3","6.7","8","9","4","7.0","6.8"
" 2020.1102.032-5","8","8","8","8.0","8","9.5","6","7.8","7.9"
" 2020.1102.033-3","8","8","3.5","6.5","0","8","5","4.3","5.4"
" 2020.1102.035-0","8","9","5.5","7.5","8","9","6","7.7","7.6"
" 2020.1102.036-8","8","8","1","5.7","8","9.5","5","7.5","6.6"
" 2020.1102.037-6","8.5","9.5","4","7.3","9","8.5","4","7.2","7.2"
" 2020.1102.038-4","8","8","5","7.0","0","8","5","4.3","5.7"
" 2020.1102.039-2","8","9","5","7.3","8","9","5","7.3","7.3"
" 2020.1102.040-6","0","0","0","0.0","0","0","0","0.0","0.0"
" 2020.1102.041-4","0","0","0","0.0","0","0","0","0.0","0.0"
" 2020.1102.043-0","8.5","9.5","4.5","7.5","9","8.5","3","6.8","7.2"
" 2020.1102.044-9","8.5","9","7.5","8.3","8","8","4","6.7","7.5"
" 2020.1102.045-7","8.5","9","5","7.5","8","8","4","6.7","7.1"
" 2020.1102.047-3","8.5","9","7.8","8.4","8","8","5","7.0","7.7"
" 2020.1102.049-0","8","0","1","3.0","8","9","5","7.3","5.2"
" 2020.1102.050-3","8","9","4","7.0","0","9","2","3.7","5.3"
" 2020.1102.051-1","8.5","9","6.5","8.0","8","8","6","7.3","7.7"
" 2020.1102.053-8","8.5","9","5","7.5","8","8","7","7.7","7.6"
" 2020.1102.054-6","8","9","3","6.7","8","9","4","7.0","6.8"
" 2020.1102.055-4","8.5","9.5","7","8.3","9","8.5","5","7.5","7.9"
